"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.CSF","yr1.GM","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",0.223466117143935,0.0943746383841338,0.589162488270898,0.146329269606405,0.216202424692012,0.0127852010803913,0.100546147926977,0.657499237230632,0.958439569198115,0.79526836738043,0.955522119804814,0.993793413321017,0.560448740765269,0.142405963575404
"wunifrac.PC.2",0.962167109162817,0.98385181660483,0.400669791584049,0.81278472281051,0.340590808235354,0.835983479093846,0.969025013476856,0.653153759917424,0.143295803786505,0.760440158643064,0.549342743164072,0.910873391403866,0.0312402579502695,0.684092440323736
"wunifrac.PC.3",0.814780529235994,0.859946244745366,0.268046576057956,0.719872991112649,0.926502119293329,0.930125215245184,0.916672110170812,0.667005857772096,0.0439089681264189,0.228562017858986,0.581084094629558,0.116536282529851,0.40072349700522,0.148512422284925
"wunifrac.PC.4",0.208780757336648,0.596097875950188,0.117260499074967,0.287067313031738,0.369554626353728,0.707950077121404,0.489617855470083,0.730135547323933,0.53640213788465,0.662180623123169,0.76561470446912,0.455706942715162,0.197444278193114,0.887175282801664
"unifrac.PC.1",0.17306599968771,0.415083505127919,0.300007357850616,0.263857860071178,0.225107315866789,0.0693269507458402,0.243339767787154,0.69793509332189,0.0451623843246546,0.820274104840814,0.734007962843358,0.60658398971841,0.730460252335763,0.777070744914549
"unifrac.PC.2",0.433335084401124,0.224527506037945,0.0128764952833219,0.10689597462865,0.344252817712854,0.728451066131401,0.206870872142645,0.981299969386764,0.222222996997613,0.935443701453431,0.892527334848729,0.0826667521726544,0.542584290312266,0.997487114182595
"unifrac.PC.3",0.2031518873422,0.191693846437322,0.940489923575298,0.28564247516675,0.10330546187916,0.0303192950248873,0.139980165734217,0.129188583520379,0.374227719789112,0.441398439099467,0.213154537413176,0.937775953974537,0.369957105066112,0.824310841525632
"unifrac.PC.4",0.743097773898399,0.899724698467164,0.0876419685211527,0.530268280202188,0.746469748778297,0.990192037272339,0.938481911881054,0.497000748822167,0.273690978064563,0.897556916725957,0.692045222000845,0.611838031216442,0.900446778324693,0.245750980280394
"chao1",0.320927691172251,0.574024011872199,0.479070829659173,0.434831396310248,0.320758009109686,0.163055585922707,0.511202507820123,0.304493398632389,0.933875493343383,0.863102818620272,0.579079720972971,0.734036561957234,0.976046328467536,0.441561758774893
"observed_otus",0.306590178108305,0.725516039974596,0.772335012032074,0.588186942049665,0.689572863990474,0.345081418912241,0.530087932697858,0.70342635215814,0.98982708318389,0.60569379829489,0.90014580006417,0.524956671649253,0.912717510002663,0.753493086491064
"PD_whole_tree",0.519852175883755,0.638925795929226,0.922089398194516,0.640827412447315,0.556403997406372,0.238450655260891,0.528037746679827,0.792379470929942,0.475109178468419,0.812383373782334,0.715541763774081,0.459033822716974,0.445895369072557,0.490535266142529
"shannon",0.625599901029352,0.836207716674178,0.341960172832291,0.785910789449478,0.560964118135516,0.764829402081217,0.927308730252738,0.55768546903856,0.544972108640757,0.712841007607579,0.573097789600327,0.80467681806158,0.137679259157699,0.679506131280648
