"","yr1.WM","yr1.CSF","yr1.GM","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",4383.51848685099,-11978.1442633185,-22029.3410747981,-29623.9668512656,-127.900099169561,-210.491868523525,-6951.27241144381
"wunifrac.PC.2",42026.0560875751,46864.2409471327,106615.259834373,195505.556869081,-198.353016520414,20.8920956750033,10846.9700696186
"wunifrac.PC.3",189312.061883376,-31389.6047569982,371503.240051492,529425.697177869,1331.653164012,170.821970438354,51073.3062749406
"wunifrac.PC.4",141833.559227907,31335.0342275297,74096.6300189117,247265.223474349,-418.441082742498,-552.704454193549,2336.65222404879
"unifrac.PC.1",-5351.42126151571,3495.58921209803,33233.1964238569,31377.3643744395,24.5930124520237,-34.9951533517071,11524.4034285832
"unifrac.PC.2",116967.92744417,5882.91761355156,128803.360395637,251654.205453358,-160.119470427116,-163.747426692236,6691.0634721848
"unifrac.PC.3",61356.7124197349,13099.220362435,118314.030584453,192769.963366623,85.612158192676,396.11914635899,22085.0555169625
"unifrac.PC.4",90429.1863522003,-33479.7248939023,223547.898043251,280497.359501549,885.359251646649,-336.965614685539,20772.3013865661
"chao1",-179.12024429395,-51.7685198812556,-115.15268743281,-346.041451608016,-0.173446722324907,0.366801675111507,-12.9776335907894
"observed_otus",-335.372008943807,-96.2484307280102,-217.721218309296,-649.341657981114,-0.16909204985019,0.702628414834855,-19.0694793778199
"PD_whole_tree",-5109.18499833645,-1000.23235759827,-8032.32348437444,-14141.7408403092,-37.195290611416,16.8609871328888,-673.869900299529
"shannon",-19417.5196245838,-1347.38936117682,-18255.9633291281,-39020.8723148888,-44.6277810097549,21.1569147941389,-2530.3023262479
