"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",0.378984639205639,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.744877131314699
"observed_otus",0.378984639205639,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.838890756330926
"PD_whole_tree",0.938651178349961,0.982096851837014,0.987996353376188,0.877063319823995,0.905164125064621,0.718316243949136,0.744877131314699
"shannon",0.378984639205639,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.744877131314699
"wunifrac.PC.1",0.680868803017809,0.982096851837014,0.339710353775624,0.840229505225086,0.905164125064621,0.718316243949136,0.744877131314699
"wunifrac.PC.2",0.951053763504652,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.838890756330926
"wunifrac.PC.3",0.680868803017809,0.982096851837014,0.339710353775624,0.840229505225086,0.905164125064621,0.718316243949136,0.744877131314699
"wunifrac.PC.4",0.911477024413233,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.893673938155468
"unifrac.PC.1",0.680868803017809,0.982096851837014,0.987996353376188,0.866123106257521,0.905164125064621,0.718316243949136,0.744877131314699
"unifrac.PC.2",0.680868803017809,0.982096851837014,0.339710353775624,0.371452243150998,0.905164125064621,0.718316243949136,0.41298434300669
"unifrac.PC.3",0.378984639205639,0.982096851837014,0.339710353775624,0.840229505225086,0.905164125064621,0.718316243949136,0.893673938155468
"unifrac.PC.4",0.951053763504652,0.982096851837014,0.987996353376188,0.840229505225086,0.905164125064621,0.718316243949136,0.838890756330926
